X,type 1
-1.0101010101010104,0.0
1.4141414141414117,15.124653739612185
13.535353535353536,14.293628808864263
45.050505050505045,19.113573407202217
64.44444444444443,14.626038781163434
72.92929292929293,18.448753462603875
81.4141414141414,14.958448753462601
83.83838383838383,17.950138504155124
99.59595959595958,0.0
102.020202020202,10.803324099722989
102.020202020202,12.465373961218834
116.56565656565655,11.301939058171744
125.05050505050504,12.963988919667589
131.1111111111111,19.445983379501385
144.44444444444443,26.26038781163435
160.20202020202018,20.277008310249307
165.05050505050502,14.459833795013846
189.29292929292927,20.277008310249307
198.98989898989896,0.0
212.32323232323228,23.601108033240997
213.53535353535352,33.07479224376731
282.6262626262626,34.07202216066482
299.5959595959596,0.0
303.2323232323232,26.094182825484765
320.20202020202015,30.914127423822713
365.050505050505,7.313019390581715
398.9898989898989,0.0
424.44444444444434,5.65096952908587
447.4747474747474,2.825484764542935
499.59595959595947,0.0
499.59595959595947,1.9944598337950126
572.3232323232322,8.476454293628805
X,2 type
45.050505050505045,16.78670360110803
109.29292929292927,22.27146814404432
154.14141414141412,30.914127423822713
163.83838383838383,27.423822714681442
186.86868686868684,15.457063711911356
186.86868686868684,25.761772853185597
188.08080808080805,35.069252077562325
201.4141414141414,29.91689750692521
241.41414141414137,29.58448753462604
242.6262626262626,23.601108033240997
260.8080808080808,28.753462603878116
263.2323232323232,24.764542936288088
268.0808080808081,31.0803324099723
275.35353535353534,32.24376731301939
288.68686868686865,25.927977839335178
320.20202020202015,23.601108033240997
325.05050505050497,25.59556786703601
328.68686868686865,27.922437673130194
X,type 3
352.92929292929284,4.48753462603878
385.6565656565656,6.315789473684205
402.6262626262626,12.465373961218834
425.65656565656553,10.803324099722989
441.41414141414134,9.972299168975066
453.5353535353534,10.13850415512465
458.3838383838383,4.986149584487535
462.0202020202019,8.97506925207756
469.2929292929292,13.296398891966756
475.3535353535352,9.141274238227144
477.77777777777766,3.988919667590025
487.47474747474735,3.1578947368421026
506.8686868686868,4.48753462603878
526.2626262626261,8.144044321329638
527.4747474747473,12.132963988919666
551.7171717171716,5.65096952908587
561.4141414141413,8.144044321329638
