X,
24.613050075872536,48.97959183673467
24.613050075872536,99.18367346938774
24.613050075872536,198.9795918367347
24.97723823975721,129.79591836734693
25.250379362670714,150.0
27.435508345978757,110.20408163265304
28.345978755690442,106.53061224489795
28.345978755690442,113.26530612244896
29.984825493171474,102.85714285714285
29.984825493171474,135.91836734693877
30.349013657056148,156.12244897959184
31.350531107739,152.44897959183675
31.350531107739,159.18367346938774
31.89681335356601,72.85714285714285
31.89681335356601,116.93877551020407
32.807283763277695,102.85714285714285
34.8103186646434,173.87755102040816
35.90288315629742,86.93877551020407
36.813353566009106,187.9591836734694
38.36115326251897,96.12244897959182
38.81638846737481,69.79591836734693
38.90743550834598,89.3877551020408
39.36267071320182,96.12244897959182
39.90895295902883,183.6734693877551
42.36722306525038,85.10204081632652
42.91350531107739,78.97959183673468
43.36874051593323,85.10204081632652
44.37025796661609,188.57142857142856
46.82852807283763,68.57142857142856
47.92109256449166,191.0204081632653
51.92716236722306,64.89795918367346
51.92716236722306,176.93877551020407
53.83915022761761,183.6734693877551
54.931714719271625,89.3877551020408
59.39301972685888,73.46938775510202
59.39301972685888,80.20408163265304
59.39301972685888,171.42857142857142
60.03034901365706,180.0
60.394537177541736,77.14285714285712
61.39605462822459,172.0408163265306
61.39605462822459,178.16326530612244
62.852807283763276,97.95918367346937
63.76327769347496,165.91836734693877
63.9453717754173,77.14285714285712
64.94688922610015,151.22448979591837
66.40364188163885,111.42857142857142
67.86039453717754,164.0816326530612
68.8619119878604,86.93877551020407
69.86342943854325,129.18367346938777
70.8649468892261,99.79591836734693
70.8649468892261,115.7142857142857
72.86798179059181,140.20408163265307
