X,type 1,X,2 type
2.1527041357370000,27.24358974358980,0.24390243902437400,119.07051282051300
7.242841993637320,26.762820512820500,1.1346765641569300,95.51282051282050
12.969247083775200,26.762820512820500,4.188759278897120,137.3397435897440
20.095440084835600,38.7820512820513,4.188759278897120,155.12820512820500
23.149522799575800,32.5320512820513,6.22481442205725,102.72435897435900
38.16542948038180,26.762820512820500,9.915164369034980,33.49358974358980
46.05514316012730,32.05128205128210,11.187698833510100,142.1474358974360
53.05408271474020,36.37820512820510,12.205726405090100,115.7051282051280
,,15.13255567338280,173.87820512820500
,,15.76882290562040,30.608974358974400
,,18.186638388123,116.66666666666700
,,19.204665959703100,136.37820512820500
,,21.113467656415700,196.9551282051280
,,22.13149522799580,173.87820512820500
,,24.16755037115590,130.12820512820500
,,25.185577942735900,116.66666666666700
,,26.0763520678685,179.16666666666700
,,27.09437963944860,160.8974358974360
,,28.62142099681870,33.012820512820500
,,30.148462354188800,139.2628205128210
,,31.16648992576880,114.26282051282100
,,32.566277836691400,28.205128205128200
,,34.0933191940615,183.01282051282100
,,36.129374337221600,132.53205128205100
,,37.020148462354200,161.85897435897400
,,40.074231177094400,125.80128205128200
,,40.83775185577940,196.47435897435900
,,42.237539766702000,203.68589743589700
,,43.128313891834600,155.12820512820500
,,44.146341463414600,182.53205128205100
,,45.03711558854720,130.12820512820500
,,47.07317073170730,170.03205128205100
,,48.091198303287400,154.6474358974360
,,49.10922587486750,111.37820512820500
,,50.12725344644750,133.97435897435900
