X,girls,X,boys
10.217755443886100,88.96825396825400,10.217755443886100,30.63492063492060
20.06700167504190,89.92063492063490,20.06700167504190,29.68253968253970
29.916247906197700,70.15873015873020,29.916247906197700,49.444444444444400
39.96649916247910,88.96825396825400,39.96649916247910,48.49206349206350
59.865996649916300,79.92063492063490,49.81574539363480,99.68253968253970
69.71524288107200,89.92063492063490,59.865996649916300,48.49206349206350
79.76549413735340,99.68253968253970,69.71524288107200,38.73015873015870
89.61474036850920,79.92063492063490,79.76549413735340,45.634920634920600
,,89.61474036850920,20.87301587301590
,,99.463986599665,32.53968253968250
